Freq (MHz),re(S11),im(S11),re(Z),im(Z)
21.750,0.21716,0.75990,15.769,63.842
21.800,0.21893,0.76016,15.751,63.991
21.850,0.22818,0.76011,15.772,64.774
21.900,0.24025,0.76022,15.770,65.811
21.950,0.24090,0.76004,15.786,65.867
22.000,0.24183,0.75967,15.818,65.948
22.050,0.24635,0.76071,15.725,66.341
22.100,0.25793,0.75901,15.858,67.362
22.150,0.26969,0.75835,15.886,68.415
22.200,0.26766,0.75942,15.796,68.229
22.250,0.26688,0.75961,15.782,68.158
22.300,0.27475,0.75802,15.897,68.874
22.350,0.28617,0.75722,15.916,69.923
22.400,0.29476,0.75623,15.957,70.725
22.450,0.29305,0.75722,15.876,70.560
22.500,0.29548,0.75725,15.857,70.786
22.550,0.30384,0.75622,15.892,71.577
22.600,0.31435,0.75331,16.081,72.602
22.650,0.31629,0.75342,16.052,72.787
22.700,0.31577,0.75425,15.978,72.729
22.750,0.32174,0.75241,16.097,73.323
22.800,0.33207,0.75082,16.141,74.349
22.850,0.33863,0.74865,16.277,75.023
22.900,0.33818,0.75017,16.132,74.960
22.950,0.33833,0.75196,15.953,74.952
23.000,0.34522,0.74919,16.138,75.674
23.050,0.35731,0.74466,16.423,76.962
23.100,0.36118,0.74512,16.317,77.351
23.150,0.36038,0.74687,16.149,77.242
23.200,0.36222,0.74650,16.157,77.436
23.250,0.37079,0.74476,16.193,78.349
23.300,0.38059,0.73861,16.660,79.488
23.350,0.38104,0.73943,16.564,79.519
23.400,0.38151,0.74199,16.285,79.521
23.450,0.38576,0.74174,16.228,79.975
23.500,0.39423,0.73727,16.530,80.972
23.550,0.39981,0.73363,16.804,81.656
23.600,0.39973,0.73483,16.675,81.620
23.650,0.40143,0.73694,16.407,81.758
23.700,0.40852,0.73264,16.712,82.633
23.750,0.41652,0.72872,16.952,83.618
23.800,0.41811,0.72911,16.869,83.787
23.850,0.41844,0.73097,16.652,83.776
23.900,0.42103,0.73109,16.571,84.062
23.950,0.42958,0.72642,16.867,85.154
24.000,0.43778,0.71933,17.451,86.300
24.050,0.43602,0.72278,17.102,85.995
24.100,0.43588,0.72688,16.635,85.860
24.150,0.44236,0.72416,16.754,86.687
24.200,0.44912,0.71857,17.196,87.650
24.250,0.45314,0.71345,17.675,88.291
24.300,0.45401,0.71658,17.274,88.293
24.350,0.45605,0.71812,17.023,88.484
24.400,0.46054,0.71534,17.204,89.114
24.450,0.46673,0.70906,17.748,90.080
24.500,0.46750,0.70998,17.607,90.142
24.550,0.46908,0.71256,17.238,90.242
24.600,0.47308,0.71163,17.204,90.763
24.650,0.47790,0.70405,17.958,91.640
24.700,0.48310,0.69922,18.365,92.478
24.750,0.48331,0.70408,17.745,92.314
24.800,0.48550,0.70802,17.166,92.430
24.850,0.48993,0.70442,17.436,93.131
24.900,0.49373,0.69509,18.466,94.000
24.950,0.49558,0.69331,18.618,94.312
25.000,0.49712,0.69932,17.779,94.256
25.050,0.50026,0.70079,17.455,94.593
25.100,0.50431,0.69393,18.160,95.418
25.150,0.50853,0.68675,18.913,96.296
25.200,0.50912,0.68987,18.474,96.231
25.250,0.51178,0.69293,17.949,96.440
25.300,0.51518,0.69285,17.798,96.890
25.350,0.51878,0.68423,18.771,97.783
25.400,0.51989,0.68158,19.075,98.060
25.450,0.52195,0.68579,18.407,98.134
25.500,0.52738,0.68929,17.663,98.683
25.550,0.52925,0.68254,18.475,99.283
25.600,0.52991,0.67557,19.398,99.733
25.650,0.53431,0.67806,18.824,100.211
25.700,0.53608,0.68234,18.142,100.224
25.750,0.54031,0.68335,17.773,100.748
25.800,0.54199,0.67611,18.678,101.381
25.850,0.54045,0.66574,20.224,101.733
25.900,0.54586,0.67196,19.042,102.156
25.950,0.55072,0.67811,17.899,102.483
26.000,0.55288,0.67435,18.297,103.008
26.050,0.55217,0.66847,19.174,103.254
26.100,0.55301,0.66605,19.471,103.517
26.150,0.55765,0.66907,18.759,104.001
26.200,0.56215,0.66965,18.399,104.609
26.250,0.56351,0.66641,18.779,105.009
26.300,0.56258,0.66067,19.672,105.232
26.350,0.56674,0.66291,19.083,105.700
26.400,0.57197,0.66535,18.386,106.303
26.450,0.57606,0.66378,18.341,107.005
26.500,0.57330,0.65765,19.429,107.009
26.550,0.57225,0.65514,19.874,107.017
26.600,0.58024,0.65874,18.799,107.966
26.650,0.58723,0.66058,18.031,108.873
26.700,0.58781,0.65577,18.705,109.306
26.750,0.58404,0.65233,19.494,108.985
26.800,0.58589,0.65170,19.459,109.309
26.850,0.59253,0.65293,18.788,110.227
26.900,0.59900,0.65310,18.274,111.196
26.950,0.59743,0.64951,18.943,111.232
27.000,0.59451,0.64597,19.707,111.049
27.050,0.59986,0.64780,19.018,111.736
27.100,0.60659,0.64781,18.487,112.774
27.150,0.60800,0.64608,18.641,113.133
27.200,0.60706,0.64301,19.196,113.232
27.250,0.60665,0.64218,19.359,113.235
27.300,0.61284,0.64214,18.860,114.212
27.350,0.62004,0.64068,18.480,115.471
27.400,0.61582,0.63944,19.037,114.909
27.450,0.61556,0.63811,19.271,114.980
27.500,0.61935,0.63715,19.101,115.666
27.550,0.62610,0.63644,18.624,116.809
27.600,0.62962,0.63391,18.713,117.604
27.650,0.62739,0.63246,19.151,117.373
27.700,0.62569,0.63372,19.099,116.985
27.750,0.63135,0.63122,18.992,118.131
27.800,0.63719,0.62952,18.724,119.243
27.850,0.63821,0.62826,18.834,119.531
27.900,0.63736,0.62809,18.943,119.409
27.950,0.63955,0.62686,18.936,119.887
28.000,0.64394,0.62583,18.679,120.713
28.050,0.64697,0.62398,18.686,121.402
