Freq (MHz),re(S11),im(S11),re(Z),im(Z)
27.950,-0.44948,0.86199,0.966,30.309
28.000,-0.44888,0.85945,1.054,30.285
28.050,-0.44813,0.85974,1.058,30.313
28.100,-0.44571,0.86152,1.044,30.418
28.150,-0.44346,0.86279,1.042,30.509
28.200,-0.44355,0.86250,1.050,30.501
28.250,-0.44020,0.86468,1.038,30.642
28.300,-0.43994,0.86479,1.038,30.652
28.350,-0.43913,0.86440,1.064,30.671
28.400,-0.43708,0.86692,1.019,30.777
28.450,-0.43570,0.86600,1.071,30.806
28.500,-0.43419,0.86580,1.102,30.850
28.550,-0.43222,0.86660,1.110,30.925
28.600,-0.43096,0.86984,1.028,31.018
28.650,-0.42968,0.86878,1.083,31.041
28.700,-0.42845,0.86843,1.114,31.075
28.750,-0.42762,0.86988,1.081,31.125
28.800,-0.42581,0.87047,1.092,31.192
28.850,-0.42505,0.87050,1.104,31.217
28.900,-0.42319,0.87247,1.071,31.309
28.950,-0.42158,0.87307,1.078,31.370
29.000,-0.42177,0.87185,1.114,31.344
29.050,-0.41890,0.87314,1.120,31.457
29.100,-0.41708,0.87658,1.038,31.571
29.150,-0.41683,0.87622,1.054,31.574
29.200,-0.41416,0.87651,1.087,31.665
29.250,-0.41372,0.87631,1.101,31.675
29.300,-0.41186,0.87734,1.098,31.752
29.350,-0.40920,0.87826,1.110,31.853
29.400,-0.40919,0.87687,1.155,31.832
29.450,-0.40681,0.87852,1.140,31.936
29.500,-0.40562,0.88061,1.090,32.008
29.550,-0.40450,0.88097,1.096,32.050
29.600,-0.40310,0.88076,1.126,32.093
29.650,-0.40125,0.88228,1.105,32.177
29.700,-0.39975,0.88365,1.083,32.248
29.750,-0.39949,0.88414,1.071,32.265
29.800,-0.39709,0.88409,1.110,32.343
29.850,-0.39644,0.88501,1.090,32.379
29.900,-0.39440,0.88535,1.111,32.452
29.950,-0.39400,0.88397,1.163,32.444
30.000,-0.39362,0.88548,1.118,32.480
