Freq (MHz),re(S11),im(S11),re(Z),im(Z)
21.200,0.63410,-0.59366,25.239,-122.074
21.250,0.63310,-0.59414,25.243,-121.845
21.300,0.63033,-0.59611,25.135,-121.159
21.350,0.62940,-0.59884,24.725,-120.744
21.400,0.62775,-0.59904,24.837,-120.430
21.450,0.62608,-0.60061,24.702,-119.990
21.500,0.62525,-0.60244,24.448,-119.681
21.550,0.62371,-0.60442,24.231,-119.235
21.600,0.62157,-0.60596,24.145,-118.724
21.650,0.62019,-0.60674,24.126,-118.415
21.700,0.61942,-0.60844,23.892,-118.135
21.750,0.61653,-0.60997,23.870,-117.502
21.800,0.61542,-0.61186,23.636,-117.154
21.850,0.61364,-0.61367,23.470,-116.698
21.900,0.61360,-0.61489,23.266,-116.590
21.950,0.61055,-0.61640,23.258,-115.947
22.000,0.60896,-0.61684,23.309,-115.642
22.050,0.60755,-0.61907,23.046,-115.227
22.100,0.60581,-0.62157,22.765,-114.736
22.150,0.60440,-0.62173,22.848,-114.489
22.200,0.60341,-0.62263,22.775,-114.254
22.250,0.60132,-0.62620,22.347,-113.633
22.300,0.59941,-0.62706,22.350,-113.254
22.350,0.59750,-0.62872,22.225,-112.816
22.400,0.59591,-0.62914,22.274,-112.527
22.450,0.59409,-0.63023,22.232,-112.149
22.500,0.59331,-0.63310,21.827,-111.812
22.550,0.59055,-0.63345,21.972,-111.344
22.600,0.58965,-0.63557,21.698,-111.048
22.650,0.58774,-0.63754,21.522,-110.605
22.700,0.58646,-0.63860,21.445,-110.327
22.750,0.58474,-0.63848,21.584,-110.064
22.800,0.58234,-0.64226,21.159,-109.425
22.850,0.58157,-0.64280,21.127,-109.268
22.900,0.57933,-0.64444,21.027,-108.809
22.950,0.57794,-0.64609,20.868,-108.483
23.000,0.57644,-0.64771,20.719,-108.145
23.050,0.57491,-0.64744,20.863,-107.929
23.100,0.57301,-0.64976,20.635,-107.486
23.150,0.57117,-0.65259,20.326,-107.023
23.200,0.56925,-0.65193,20.550,-106.776
23.250,0.56789,-0.65447,20.257,-106.409
23.300,0.56568,-0.65558,20.232,-106.009
23.350,0.56388,-0.65827,19.945,-105.573
23.400,0.56245,-0.65870,19.971,-105.335
23.450,0.56097,-0.66014,19.850,-105.028
23.500,0.55927,-0.66152,19.752,-104.696
23.550,0.55758,-0.66297,19.644,-104.361
23.600,0.55494,-0.66470,19.552,-103.875
23.650,0.55424,-0.66560,19.462,-103.720
23.700,0.55208,-0.66576,19.567,-103.399
23.750,0.54937,-0.66856,19.323,-102.849
23.800,0.54814,-0.67044,19.127,-102.565
23.850,0.54672,-0.67128,19.089,-102.317
23.900,0.54431,-0.67307,18.974,-101.876
23.950,0.54256,-0.67318,19.056,-101.623
24.000,0.54150,-0.67589,18.735,-101.325
24.050,0.53866,-0.67599,18.877,-100.924
24.100,0.53825,-0.67811,18.606,-100.753
24.150,0.53616,-0.67941,18.540,-100.394
24.200,0.53367,-0.68112,18.439,-99.961
24.250,0.53221,-0.68271,18.298,-99.678
24.300,0.52967,-0.68335,18.345,-99.299
24.350,0.52956,-0.68443,18.204,-99.228
24.400,0.52722,-0.68552,18.178,-98.855
24.450,0.52507,-0.68827,17.918,-98.426
24.500,0.52380,-0.68817,17.995,-98.262
24.550,0.52064,-0.69062,17.826,-97.719
24.600,0.51909,-0.69201,17.719,-97.445
24.650,0.51653,-0.69176,17.877,-97.120
24.700,0.51565,-0.69435,17.579,-96.879
24.750,0.51368,-0.69549,17.525,-96.567
24.800,0.51200,-0.69703,17.403,-96.276
24.850,0.51036,-0.69671,17.522,-96.078
24.900,0.50849,-0.69831,17.402,-95.762
24.950,0.50569,-0.69983,17.335,-95.331
25.000,0.50484,-0.70195,17.102,-95.126
25.050,0.50218,-0.70381,16.985,-94.704
25.100,0.50035,-0.70430,17.006,-94.450
25.150,0.49863,-0.70544,16.937,-94.182
25.200,0.49715,-0.70697,16.809,-93.929
25.250,0.49488,-0.70820,16.753,-93.591
25.300,0.49237,-0.70967,16.677,-93.215
25.350,0.49073,-0.71043,16.652,-92.979
25.400,0.48891,-0.71058,16.710,-92.748
25.450,0.48725,-0.71258,16.532,-92.461
25.500,0.48480,-0.71488,16.350,-92.066
25.550,0.48294,-0.71638,16.244,-91.778
25.600,0.48089,-0.71744,16.197,-91.487
25.650,0.47890,-0.71888,16.102,-91.190
25.700,0.47704,-0.72031,16.002,-90.909
25.750,0.47539,-0.72112,15.969,-90.681
25.800,0.47258,-0.72282,15.875,-90.281
25.850,0.47050,-0.72277,15.959,-90.035
25.900,0.46829,-0.72384,15.915,-89.732
25.950,0.46773,-0.72524,15.770,-89.615
26.000,0.46526,-0.72787,15.552,-89.228
26.050,0.46248,-0.72875,15.551,-88.871
26.100,0.46055,-0.72925,15.561,-88.629
26.150,0.45854,-0.73038,15.502,-88.356
26.200,0.45719,-0.73182,15.382,-88.149
26.250,0.45445,-0.73233,15.419,-87.816
26.300,0.45204,-0.73398,15.312,-87.484
26.350,0.45071,-0.73517,15.221,-87.292
26.400,0.44876,-0.73607,15.184,-87.040
26.450,0.44657,-0.73794,15.045,-86.731
26.500,0.44458,-0.73858,15.038,-86.486
26.550,0.44306,-0.74001,14.927,-86.268
26.600,0.44075,-0.74078,14.915,-85.985
26.650,0.43841,-0.74286,14.757,-85.659
26.700,0.43560,-0.74213,14.925,-85.370
26.750,0.43363,-0.74451,14.723,-85.080
26.800,0.43190,-0.74639,14.568,-84.833
26.850,0.42956,-0.74746,14.522,-84.544
26.900,0.42849,-0.74857,14.433,-84.395
26.950,0.42526,-0.74901,14.480,-84.031
27.000,0.42286,-0.74965,14.480,-83.754
27.050,0.42058,-0.75235,14.255,-83.431
27.100,0.41883,-0.75282,14.254,-83.231
27.150,0.41654,-0.75258,14.343,-82.993
27.200,0.41418,-0.75548,14.099,-82.662
27.250,0.41328,-0.75634,14.032,-82.543
27.300,0.41086,-0.75774,13.950,-82.251
27.350,0.40826,-0.75755,14.039,-81.983
27.400,0.40686,-0.75791,14.037,-81.826
27.450,0.40358,-0.76042,13.859,-81.419
27.500,0.40155,-0.76103,13.848,-81.193
27.550,0.39937,-0.76191,13.811,-80.946
27.600,0.39631,-0.76389,13.683,-80.582
27.650,0.39490,-0.76392,13.714,-80.436
27.700,0.39275,-0.76514,13.640,-80.187
27.750,0.39064,-0.76769,13.430,-79.912
27.800,0.38786,-0.76791,13.474,-79.626
27.850,0.38690,-0.76797,13.490,-79.527
27.900,0.38392,-0.76968,13.386,-79.189
27.950,0.38123,-0.77072,13.341,-78.896
28.000,0.37910,-0.77189,13.271,-78.657
28.050,0.37731,-0.77224,13.276,-78.471
28.100,0.37522,-0.77462,13.084,-78.214
28.150,0.37137,-0.77509,13.119,-77.825
28.200,0.37008,-0.77537,13.118,-77.693
28.250,0.36865,-0.77627,13.060,-77.534
28.300,0.36544,-0.77769,12.986,-77.192
28.350,0.36445,-0.77936,12.844,-77.063
28.400,0.36139,-0.77925,12.914,-76.769
28.450,0.35986,-0.78019,12.853,-76.603
28.500,0.35594,-0.78159,12.793,-76.201
28.550,0.35495,-0.78276,12.699,-76.085
28.600,0.35319,-0.78395,12.618,-75.895
28.650,0.34998,-0.78349,12.720,-75.599
28.700,0.34754,-0.78603,12.523,-75.322
28.750,0.34577,-0.78689,12.473,-75.141
28.800,0.34298,-0.78609,12.596,-74.893
28.850,0.34078,-0.78791,12.463,-74.656
28.900,0.33853,-0.78911,12.389,-74.428
28.950,0.33737,-0.78986,12.338,-74.307
29.000,0.33313,-0.79071,12.328,-73.903
29.050,0.33101,-0.79224,12.221,-73.683
29.100,0.32922,-0.79204,12.266,-73.522
29.150,0.32614,-0.79219,12.299,-73.239
29.200,0.32426,-0.79455,12.113,-73.033
29.250,0.32155,-0.79548,12.068,-72.774
29.300,0.31989,-0.79634,12.014,-72.612
