Freq (MHz),re(S11),im(S11),re(Z),im(Z)
17.750,0.78930,0.55093,10.561,158.349
17.800,0.78904,0.55007,10.781,158.484
17.850,0.78938,0.54893,10.928,158.796
17.900,0.79232,0.54713,10.639,159.753
17.950,0.79209,0.54559,10.990,160.048
18.000,0.79336,0.54375,11.070,160.701
18.050,0.79459,0.54151,11.237,161.439
18.100,0.79716,0.53918,11.122,162.471
18.150,0.79692,0.53834,11.343,162.614
18.200,0.79744,0.53637,11.619,163.167
18.250,0.79929,0.53528,11.417,163.790
18.300,0.79976,0.53381,11.603,164.225
18.350,0.80041,0.53171,11.879,164.844
18.400,0.80204,0.53078,11.686,165.394
18.450,0.80417,0.52895,11.556,166.264
18.500,0.80332,0.52666,12.231,166.637
18.550,0.80508,0.52569,12.009,167.235
18.600,0.80645,0.52359,12.114,168.029
18.650,0.80762,0.52277,11.998,168.472
18.700,0.80930,0.52093,11.969,169.279
18.750,0.80899,0.51885,12.484,169.730
18.800,0.80929,0.51875,12.432,169.818
18.850,0.81022,0.51700,12.569,170.455
18.900,0.81081,0.51491,12.871,171.109
18.950,0.81222,0.51401,12.704,171.643
19.000,0.81469,0.51119,12.679,172.900
19.050,0.81468,0.51024,12.888,173.145
19.100,0.81508,0.50923,13.002,173.495
19.150,0.81591,0.50754,13.154,174.121
19.200,0.81720,0.50568,13.225,174.898
19.250,0.81823,0.50411,13.298,175.544
19.300,0.81952,0.50290,13.219,176.159
19.350,0.82041,0.50178,13.227,176.662
19.400,0.81987,0.50010,13.752,176.999
19.450,0.82285,0.49833,13.332,178.156
19.500,0.82322,0.49706,13.517,178.594
19.550,0.82464,0.49544,13.487,179.371
19.600,0.82403,0.49334,14.140,179.821
19.650,0.82412,0.49312,14.165,179.906
19.700,0.82698,0.49066,13.919,181.267
19.750,0.82724,0.48951,14.113,181.660
19.800,0.82875,0.48785,14.062,182.493
19.850,0.82937,0.48726,14.016,182.812
19.900,0.82821,0.48579,14.704,182.971
19.950,0.83080,0.48372,14.430,184.196
20.000,0.83169,0.48204,14.562,184.910
20.050,0.83198,0.48061,14.820,185.408
20.100,0.83199,0.47890,15.229,185.929
20.150,0.83326,0.47744,15.196,186.680
20.200,0.83483,0.47644,14.957,187.370
20.250,0.83425,0.47381,15.780,188.043
20.300,0.83397,0.47417,15.780,187.864
20.350,0.83596,0.47287,15.481,188.757
20.400,0.83829,0.47140,15.110,189.797
20.450,0.83802,0.46889,15.822,190.532
20.500,0.83908,0.46823,15.647,191.011
20.550,0.83956,0.46641,15.950,191.716
20.600,0.83839,0.46540,16.582,191.749
20.650,0.84095,0.46414,16.073,192.811
20.700,0.84168,0.46171,16.455,193.800
20.750,0.84322,0.46061,16.223,194.563
20.800,0.84209,0.45979,16.813,194.543
20.850,0.84498,0.45757,16.418,196.043
20.900,0.84560,0.45588,16.648,196.783
20.950,0.84515,0.45432,17.213,197.202
21.000,0.84479,0.45470,17.235,196.976
21.050,0.84519,0.45367,17.373,197.435
21.100,0.84634,0.45086,17.725,198.714
